time,location,customer_id
2025-03-03 07:07:00,entrance,1
2025-03-03 07:08:00,drinks,1
2025-03-03 07:09:00,drinks,1
2025-03-03 07:10:00,fruit,1
2025-03-03 07:11:00,fruit,1
2025-03-03 07:12:00,checkout,1
2025-03-03 07:11:00,entrance,2
2025-03-03 07:12:00,fruit,2
2025-03-03 07:13:00,checkout,2
2025-03-03 07:13:00,entrance,3
2025-03-03 07:14:00,fruit,3
2025-03-03 07:15:00,fruit,3
2025-03-03 07:16:00,fruit,3
2025-03-03 07:17:00,drinks,3
2025-03-03 07:18:00,drinks,3
2025-03-03 07:19:00,spices,3
2025-03-03 07:20:00,drinks,3
2025-03-03 07:21:00,drinks,3
2025-03-03 07:22:00,drinks,3
2025-03-03 07:23:00,drinks,3
2025-03-03 07:24:00,spices,3
2025-03-03 07:25:00,drinks,3
2025-03-03 07:26:00,checkout,3
2025-03-03 07:30:00,entrance,4
2025-03-03 07:31:00,spices,4
2025-03-03 07:32:00,checkout,4
2025-03-03 07:39:00,entrance,5
2025-03-03 07:40:00,spices,5
2025-03-03 07:41:00,checkout,5
2025-03-03 07:43:00,entrance,6
2025-03-03 07:44:00,fruit,6
2025-03-03 07:45:00,fruit,6
2025-03-03 07:46:00,checkout,6
2025-03-03 07:47:00,entrance,7
2025-03-03 07:48:00,dairy,7
2025-03-03 07:49:00,dairy,7
2025-03-03 07:50:00,spices,7
2025-03-03 07:51:00,dairy,7
2025-03-03 07:52:00,dairy,7
2025-03-03 07:53:00,dairy,7
2025-03-03 07:54:00,dairy,7
2025-03-03 07:55:00,checkout,7
2025-03-03 07:54:00,entrance,8
2025-03-03 07:55:00,spices,8
2025-03-03 07:56:00,spices,8
2025-03-03 07:57:00,dairy,8
2025-03-03 07:58:00,dairy,8
2025-03-03 07:59:00,dairy,8
2025-03-03 08:00:00,checkout,8
2025-03-03 07:55:00,entrance,9
2025-03-03 07:56:00,spices,9
2025-03-03 07:57:00,dairy,9
2025-03-03 07:58:00,dairy,9
2025-03-03 07:59:00,spices,9
2025-03-03 08:00:00,fruit,9
2025-03-03 08:01:00,fruit,9
2025-03-03 08:02:00,fruit,9
2025-03-03 08:03:00,dairy,9
2025-03-03 08:04:00,dairy,9
2025-03-03 08:05:00,dairy,9
2025-03-03 08:06:00,dairy,9
2025-03-03 08:07:00,dairy,9
2025-03-03 08:08:00,dairy,9
2025-03-03 08:09:00,dairy,9
2025-03-03 08:10:00,dairy,9
2025-03-03 08:11:00,dairy,9
2025-03-03 08:12:00,checkout,9
2025-03-03 08:00:00,entrance,10
2025-03-03 08:01:00,spices,10
2025-03-03 08:02:00,spices,10
2025-03-03 08:03:00,dairy,10
2025-03-03 08:04:00,spices,10
2025-03-03 08:05:00,drinks,10
2025-03-03 08:06:00,drinks,10
2025-03-03 08:07:00,drinks,10
2025-03-03 08:08:00,drinks,10
2025-03-03 08:09:00,drinks,10
2025-03-03 08:10:00,fruit,10
2025-03-03 08:11:00,fruit,10
2025-03-03 08:12:00,checkout,10
2025-03-03 08:01:00,entrance,11
2025-03-03 08:02:00,fruit,11
2025-03-03 08:03:00,fruit,11
2025-03-03 08:04:00,spices,11
2025-03-03 08:05:00,checkout,11
2025-03-03 08:01:00,entrance,12
2025-03-03 08:02:00,fruit,12
2025-03-03 08:03:00,fruit,12
2025-03-03 08:04:00,fruit,12
2025-03-03 08:05:00,checkout,12
2025-03-03 08:01:00,entrance,13
2025-03-03 08:02:00,spices,13
2025-03-03 08:03:00,dairy,13
2025-03-03 08:04:00,dairy,13
2025-03-03 08:05:00,dairy,13
2025-03-03 08:06:00,dairy,13
2025-03-03 08:07:00,dairy,13
2025-03-03 08:08:00,spices,13
2025-03-03 08:09:00,spices,13
2025-03-03 08:10:00,dairy,13
2025-03-03 08:11:00,spices,13
2025-03-03 08:12:00,dairy,13
2025-03-03 08:13:00,dairy,13
2025-03-03 08:14:00,checkout,13
2025-03-03 08:02:00,entrance,14
2025-03-03 08:03:00,spices,14
2025-03-03 08:04:00,spices,14
2025-03-03 08:05:00,spices,14
2025-03-03 08:06:00,drinks,14
2025-03-03 08:07:00,drinks,14
2025-03-03 08:08:00,drinks,14
2025-03-03 08:09:00,drinks,14
2025-03-03 08:10:00,checkout,14
2025-03-03 08:02:00,entrance,15
2025-03-03 08:03:00,spices,15
2025-03-03 08:04:00,dairy,15
2025-03-03 08:05:00,drinks,15
2025-03-03 08:06:00,drinks,15
2025-03-03 08:07:00,drinks,15
2025-03-03 08:08:00,drinks,15
2025-03-03 08:09:00,checkout,15
2025-03-03 08:03:00,entrance,16
2025-03-03 08:04:00,fruit,16
2025-03-03 08:05:00,checkout,16
2025-03-03 08:03:00,entrance,17
2025-03-03 08:04:00,spices,17
2025-03-03 08:05:00,drinks,17
2025-03-03 08:06:00,drinks,17
2025-03-03 08:07:00,drinks,17
2025-03-03 08:08:00,fruit,17
2025-03-03 08:09:00,checkout,17
2025-03-03 08:03:00,entrance,18
2025-03-03 08:04:00,fruit,18
2025-03-03 08:05:00,fruit,18
2025-03-03 08:06:00,checkout,18
2025-03-03 08:03:00,entrance,19
2025-03-03 08:04:00,spices,19
2025-03-03 08:05:00,spices,19
2025-03-03 08:06:00,spices,19
2025-03-03 08:07:00,spices,19
2025-03-03 08:08:00,spices,19
2025-03-03 08:09:00,dairy,19
2025-03-03 08:10:00,fruit,19
2025-03-03 08:11:00,fruit,19
2025-03-03 08:12:00,fruit,19
2025-03-03 08:13:00,checkout,19
2025-03-03 08:03:00,entrance,20
2025-03-03 08:04:00,drinks,20
2025-03-03 08:05:00,fruit,20
2025-03-03 08:06:00,fruit,20
2025-03-03 08:07:00,fruit,20
2025-03-03 08:08:00,fruit,20
2025-03-03 08:09:00,fruit,20
2025-03-03 08:10:00,fruit,20
2025-03-03 08:11:00,fruit,20
2025-03-03 08:12:00,checkout,20
2025-03-03 08:04:00,entrance,21
2025-03-03 08:05:00,fruit,21
2025-03-03 08:06:00,fruit,21
2025-03-03 08:07:00,fruit,21
2025-03-03 08:08:00,fruit,21
2025-03-03 08:09:00,dairy,21
2025-03-03 08:10:00,dairy,21
2025-03-03 08:11:00,dairy,21
2025-03-03 08:12:00,dairy,21
2025-03-03 08:13:00,dairy,21
2025-03-03 08:14:00,dairy,21
2025-03-03 08:15:00,dairy,21
2025-03-03 08:16:00,dairy,21
2025-03-03 08:17:00,dairy,21
2025-03-03 08:18:00,dairy,21
2025-03-03 08:19:00,dairy,21
2025-03-03 08:20:00,dairy,21
2025-03-03 08:21:00,drinks,21
2025-03-03 08:22:00,drinks,21
2025-03-03 08:23:00,drinks,21
2025-03-03 08:24:00,fruit,21
2025-03-03 08:25:00,checkout,21
2025-03-03 08:04:00,entrance,22
2025-03-03 08:05:00,fruit,22
2025-03-03 08:06:00,fruit,22
2025-03-03 08:07:00,spices,22
2025-03-03 08:08:00,spices,22
2025-03-03 08:09:00,checkout,22
2025-03-03 08:05:00,entrance,23
2025-03-03 08:06:00,spices,23
2025-03-03 08:07:00,spices,23
2025-03-03 08:08:00,spices,23
2025-03-03 08:09:00,spices,23
2025-03-03 08:10:00,spices,23
2025-03-03 08:11:00,spices,23
2025-03-03 08:12:00,dairy,23
2025-03-03 08:13:00,checkout,23
2025-03-03 08:05:00,entrance,24
2025-03-03 08:06:00,fruit,24
2025-03-03 08:07:00,fruit,24
2025-03-03 08:08:00,checkout,24
2025-03-03 08:06:00,entrance,25
2025-03-03 08:07:00,fruit,25
2025-03-03 08:08:00,dairy,25
2025-03-03 08:09:00,dairy,25
2025-03-03 08:10:00,dairy,25
2025-03-03 08:11:00,drinks,25
2025-03-03 08:12:00,drinks,25
2025-03-03 08:13:00,drinks,25
2025-03-03 08:14:00,drinks,25
2025-03-03 08:15:00,checkout,25
2025-03-03 08:07:00,entrance,26
2025-03-03 08:08:00,dairy,26
2025-03-03 08:09:00,dairy,26
2025-03-03 08:10:00,dairy,26
2025-03-03 08:11:00,dairy,26
2025-03-03 08:12:00,fruit,26
2025-03-03 08:13:00,checkout,26
2025-03-03 08:07:00,entrance,27
2025-03-03 08:08:00,dairy,27
2025-03-03 08:09:00,dairy,27
2025-03-03 08:10:00,dairy,27
2025-03-03 08:11:00,spices,27
2025-03-03 08:12:00,dairy,27
2025-03-03 08:13:00,dairy,27
2025-03-03 08:14:00,fruit,27
2025-03-03 08:15:00,fruit,27
2025-03-03 08:16:00,fruit,27
2025-03-03 08:17:00,fruit,27
2025-03-03 08:18:00,fruit,27
2025-03-03 08:19:00,fruit,27
2025-03-03 08:20:00,fruit,27
2025-03-03 08:21:00,fruit,27
2025-03-03 08:22:00,fruit,27
2025-03-03 08:23:00,checkout,27
2025-03-03 08:08:00,entrance,28
2025-03-03 08:09:00,spices,28
2025-03-03 08:10:00,spices,28
2025-03-03 08:11:00,spices,28
2025-03-03 08:12:00,spices,28
2025-03-03 08:13:00,spices,28
2025-03-03 08:14:00,drinks,28
2025-03-03 08:15:00,checkout,28
2025-03-03 08:09:00,entrance,29
